"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2294","DGKELBDO_03845",0.661033333333332,16.7726416666667,1.96766736046762,0.0752685078858007,0.163206466403141,-5.43513003131968
"3047","DGKELBDO_05206",-0.232799999999999,14.1097,-1.96665498284693,0.0753980767195166,0.163379143725999,-5.43672131203301
"2819","DGKELBDO_04838",-0.165033333333334,14.8796166666667,-1.96415950245359,0.0757183478446655,0.163964549402876,-5.440642127638
"3160","DGKELBDO_05459",0.162966666666666,16.8973416666667,1.96173979401022,0.0760301038334095,0.164530753798225,-5.44444165500398
"2278","DGKELBDO_03826",-0.334466666666664,13.028175,-1.96022793717306,0.0762254981369124,0.164844567021796,-5.44681451471466
"1668","DGKELBDO_02873",0.143599999999996,18.1744,1.95785864166862,0.0765326493627361,0.165399490564645,-5.45053138617771
"1678","DGKELBDO_02887",-0.423833333333334,20.6893333333333,-1.95385328209974,0.0770545174966071,0.16641741336561,-5.4568100189621
"167","DGKELBDO_00253",-0.134200000000003,16.6410416666667,-1.94926500214261,0.0776564023396924,0.167494334929866,-5.46399490657088
"2093","DGKELBDO_03534",-0.328366666666666,12.5315166666667,-1.94906633476297,0.0776825617438678,0.167494334929866,-5.46430582251222
"2578","DGKELBDO_04329",-0.683766666666669,10.7019,-1.94888289111744,0.0777067238458242,0.167494334929866,-5.46459289978275
"3186","DGKELBDO_05497",0.6028,11.079775,1.94848586128045,0.0777590421685993,0.167496764960933,-5.46521418131941
"1704","DGKELBDO_02925",-0.806966666666668,11.8645166666667,-1.94769269222684,0.0778636595045623,0.167611772301926,-5.46645516994969
"3","DGKELBDO_00005",0.183866666666667,20.9633333333333,1.94585495791411,0.0781065556586282,0.16802409606511,-5.46932955364467
"877","DGKELBDO_01576",-0.354333333333333,21.8937333333333,-1.94237712796635,0.0785681536505565,0.168906043853233,-5.47476564409708
"1539","DGKELBDO_02692",-0.28083333333333,13.8313916666667,-1.93671094657492,0.0793256319784745,0.170369204689117,-5.48361228490205
"615","DGKELBDO_01086",0.174566666666674,19.7245666666667,1.93650795843894,0.0793528936265937,0.170369204689117,-5.48392898079385
"2402","DGKELBDO_04025",0.410433333333332,11.954825,1.93516580429117,0.0795333660993693,0.170644704181729,-5.48602256620885
"256","DGKELBDO_00391",0.187366666666666,19.9731166666667,1.93089101681176,0.0801107156221856,0.171770813575224,-5.4926860069012
