"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2579","DGKELBDO_04330",-0.203733333333336,13.808825,-1.65894775385496,0.125804913710253,0.207059193993937,-6.26744857763373
"1018","DGKELBDO_01811",-0.184799999999997,14.623075,-1.65800748091739,0.125997137235852,0.207271308715791,-6.26880265870861
"2425","DGKELBDO_04079",-0.224300000000007,22.1948,-1.6572854287874,0.12614492636541,0.207410150285238,-6.26984217207918
"3088","DGKELBDO_05291",-0.253833333333333,18.8152,-1.65373090851352,0.126874712823281,0.208505304047099,-6.27495556801952
"103","DGKELBDO_00161",-0.531499999999999,15.3613583333333,-1.65232158058958,0.127165102533382,0.208877618217482,-6.27698116419732
"360","DGKELBDO_00674",-0.776,11.691175,-1.64484664073492,0.128715194367857,0.21131766983022,-6.28770749771691
"1599","DGKELBDO_02766",-0.112333333333332,17.9469666666667,-1.6414148475573,0.129432451965801,0.212388657388214,-6.29262227744643
"3145","DGKELBDO_05431",-0.341099999999996,12.8788416666667,-1.63970997766039,0.12979009238253,0.212868763045432,-6.29506158600732
"1383","DGKELBDO_02435",-0.390366666666667,12.8091666666667,-1.63871769259469,0.129998652895677,0.213017892653657,-6.29648063523636
"193","DGKELBDO_00296",-0.135300000000001,16.717975,-1.63865791741299,0.130011226048091,0.213017892653657,-6.29656610217529
"1836","DGKELBDO_03146",-0.238366666666666,13.1769,-1.63750814218327,0.130253280404745,0.213272879487178,-6.29820969337967
"410","DGKELBDO_00761",0.149099999999999,14.1982583333333,1.63729248568992,0.130298725554912,0.213272879487178,-6.29851789471901
"1109","DGKELBDO_01943",0.143333333333334,15.789875,1.63699045560414,0.130362395774559,0.213272879487178,-6.29894949416767
"1572","DGKELBDO_02734",0.0977333333333377,18.1907333333333,1.63620018830044,0.130529120539252,0.213438921741345,-6.3000785553741
"944","DGKELBDO_01675",-0.23706666666666,23.076,-1.63556093878049,0.130664122877813,0.213552952076026,-6.30099161611917
"922","DGKELBDO_01637",0.1479,15.589175,1.63187126353175,0.131445760756117,0.214660047092833,-6.30625749464469
"1250","DGKELBDO_02192",-1.7854,15.3094333333333,-1.63174435882563,0.131472718329473,0.214660047092833,-6.30643848450181
"1115","DGKELBDO_01950",-0.736863333333339,10.5475491666667,-1.62945198086114,0.131960517194097,0.215349033545678,-6.30970638018403
"3085","DGKELBDO_05285",-0.199466666666666,13.2948833333333,-1.6280681364647,0.132255762358985,0.215723257446959,-6.31167777263864
"2775","DGKELBDO_04764",0.240133333333331,13.2395666666667,1.624249293164,0.133073551333402,0.216949008451864,-6.31711274453796
"1736","DGKELBDO_02965",0.180499999999999,15.1661916666667,1.62358247092165,0.133216806075799,0.217074397151402,-6.3180609711817
"1550","DGKELBDO_02706",0.130299999999998,19.9659,1.62265047971709,0.133417255989239,0.217292813139268,-6.31938587419621
"1423","DGKELBDO_02530",0.277466666666669,13.4206666666667,1.62189319654834,0.133580326460202,0.217450163272528,-6.32046207495769
"274","DGKELBDO_00492",0.321166666666668,11.4555666666667,1.6210341794673,0.133765517106962,0.21755733021991,-6.3216824836652
"411","DGKELBDO_00762",0.786433333333337,14.5944583333333,1.62097102713209,0.133779140709798,0.21755733021991,-6.32177218890988
"978","DGKELBDO_01720",-0.13526666666667,19.2947333333333,-1.61994798334341,0.134000008726179,0.217723105600985,-6.3232250836294
"3168","DGKELBDO_05475",0.657566666666668,12.7285666666667,1.61981193840914,0.134029404131226,0.217723105600985,-6.32341824834825
"1687","DGKELBDO_02899",1.10371666666667,10.8062791666667,1.6195745885623,0.13408070225733,0.217723105600985,-6.32375522819633
"1868","DGKELBDO_03196",0.482200000000001,12.7071583333333,1.61794792006233,0.134432738995093,0.21814478369202,-6.32606389823548
"2646","DGKELBDO_04434",0.368866666666669,12.7638,1.6177587784218,0.134473725154891,0.21814478369202,-6.32633224823087
"3108","DGKELBDO_05320",-0.230333333333331,13.729125,-1.61579385278179,0.134900168963369,0.218728123314244,-6.32911891019904
"389","DGKELBDO_00731",-0.233133333333331,13.5747583333333,-1.61519953677845,0.135029387068055,0.218829199844813,-6.32996136363864
"468","DGKELBDO_00855",0.250000000000004,14.2755916666667,1.60934965870133,0.136307125790462,0.220790552270491,-6.33824356049379
"2189","DGKELBDO_03686",0.173766666666667,14.9759666666667,1.60715084521549,0.136790143331114,0.221397991984201,-6.34135186023322
"1040","DGKELBDO_01842",-0.222733333333327,18.2845083333333,-1.60683882404043,0.136858807685491,0.221397991984201,-6.34179273032912
"1148","DGKELBDO_02000",0.21126666666667,13.1113666666667,1.60671925856763,0.136885127684609,0.221397991984201,-6.34196165636133
"1531","DGKELBDO_02677",-0.4193,14.4162666666667,-1.60252772614415,0.137810634138926,0.2227847800902,-6.34787871126014
"205","DGKELBDO_00312",-0.261233333333333,12.357875,-1.60221509823854,0.137879883885396,0.22278665682618,-6.34831965748591
"2641","DGKELBDO_04428",0.279400000000001,12.705925,1.59917306359452,0.138555321232158,0.223767527676022,-6.35260753146103
"3146","DGKELBDO_05432",-0.263933333333329,15.867925,-1.5948850629602,0.139512349467842,0.225201977039358,-6.35864310896408
"2367","DGKELBDO_03981",0.114266666666664,15.4444333333333,1.59232878977685,0.140085638610453,0.22601588241292,-6.36223642684071
"2874","DGKELBDO_04945",-0.162466666666663,14.37625,-1.59199525833542,0.140160591359682,0.226025359748093,-6.36270500428785
"974","DGKELBDO_01716",0.203633333333332,18.211,1.5891007453124,0.140812540848515,0.226964844165685,-6.36676894335247
"2550","DGKELBDO_04288",0.236033333333333,13.5735583333333,1.58568015015953,0.141586414673233,0.228082263639408,-6.37156559201549
"2192","DGKELBDO_03689",-0.133533333333329,15.0904083333333,-1.58522291735597,0.141690141115696,0.228082263639408,-6.37220627597441
"2105","DGKELBDO_03546",-0.125299999999999,18.084925,-1.585113701944,0.14171492725517,0.228082263639408,-6.37235929384436
"2957","DGKELBDO_05063",0.577533333333331,11.4817,1.58459529727478,0.141832629672166,0.228159471134379,-6.37308552294817
"1824","DGKELBDO_03125",-0.204900000000009,19.3006083333333,-1.58171651414203,0.142487811470289,0.229100795641663,-6.37711569713022
"3231","DGKELBDO_05557",0.453099999999996,12.2679416666667,1.58123837291172,0.142596888195801,0.229163564919774,-6.37778463242439
"3262","DGKELBDO_05601",0.110266666666668,16.2077083333333,1.57929301956359,0.143041430169251,0.229765124945405,-6.3805049450579
"110","DGKELBDO_00171",0.0935000000000006,15.9908166666667,1.57281585829818,0.144530321563402,0.232042793010526,-6.3895472875289
"1967","DGKELBDO_03329",-0.104800000000001,14.8274333333333,-1.57182390512145,0.144759533794674,0.232296809502783,-6.3909300339846
"3237","DGKELBDO_05564",0.14303333333333,16.0174416666667,1.57012909563266,0.145151892276579,0.232812250749493,-6.3932912703331
"2790","DGKELBDO_04786",0.485199999999999,11.756075,1.56576950012845,0.146165441406345,0.234323039824381,-6.3993577764961
"1569","DGKELBDO_02730",0.2742,12.9151333333333,1.56280033571797,0.146859269877557,0.235320044583432,-6.40348337856064
"2332","DGKELBDO_03929",0.153100000000002,17.6342,1.55900209776638,0.147751027392888,0.236589609635828,-6.40875376147031
"1231","DGKELBDO_02134",-0.158799999999994,14.86575,-1.55875428606507,0.147809373022473,0.236589609635828,-6.40909734008594
"956","DGKELBDO_01696",0.0800666666666636,17.2922833333333,1.55849617091106,0.147870165912364,0.236589609635828,-6.40945516721906
"1857","DGKELBDO_03181",0.655999999999999,12.1529666666667,1.55819633148676,0.147940813360301,0.236589609635828,-6.40987079000918
"302","DGKELBDO_00587",-0.510466666666666,10.9754833333333,-1.55707803926067,0.148204562559579,0.236895617339982,-6.41142046606392
"1849","DGKELBDO_03160",0.245266666666666,17.79115,1.55613939392438,0.148426258654088,0.237134139802821,-6.4127206525553
"2703","DGKELBDO_04605",0.205233333333338,13.8115916666667,1.55066250915816,0.149725605361402,0.239093304413132,-6.42029717581516
"3127","DGKELBDO_05381",0.375133333333332,12.3814416666667,1.54999674146576,0.149884227210007,0.239229849478607,-6.42121701874805
"384","DGKELBDO_00711",-0.226499999999998,13.9913416666667,-1.54919866466565,0.150074565167865,0.239416858717336,-6.42231933273553
"665","DGKELBDO_01192",-0.275899999999996,15.3731333333333,-1.54876116655111,0.1501789959513,0.239466703095835,-6.42292345761887
"1003","DGKELBDO_01768",-0.744100000000001,12.0221583333333,-1.54728051820825,0.150532896377761,0.23991409495764,-6.4249672245374
"34","DGKELBDO_00041",-0.11943333333333,16.3657666666667,-1.54422874669034,0.151264613612835,0.240962909318986,-6.42917571486223
"1997","DGKELBDO_03369",0.531866666666671,11.52535,1.54227112436195,0.15173561677605,0.241595590312037,-6.43187254887456
"87","DGKELBDO_00128",0.159733333333342,18.40305,1.5413149545659,0.151966134245438,0.241844937378926,-6.43318898109765
"1620","DGKELBDO_02798",-0.100633333333334,18.3693666666667,-1.54060948569719,0.152136406870225,0.241998212581126,-6.43415991978543
"955","DGKELBDO_01695",-0.226933333333335,15.2754666666667,-1.53986974671176,0.152315129120479,0.242164772829061,-6.43517771938705
"958","DGKELBDO_01700",0.0773666666666664,16.87125,1.53655614935944,0.153117941792205,0.243322926442008,-6.43973302678658
"54","DGKELBDO_00070",-0.0908999999999978,17.3823833333333,-1.53389965974935,0.153764204201811,0.244231299101129,-6.4433804461948
"2932","DGKELBDO_05027",-0.141666666666662,16.2370916666667,-1.53290918327242,0.154005769725892,0.244496302058767,-6.44473935614829
"1071","DGKELBDO_01890",-0.579833333333333,11.6233833333333,-1.53056174039854,0.154579599360988,0.245288287637805,-6.44795773974513
"2151","DGKELBDO_03608",-0.216899999999999,16.774925,-1.53009865311416,0.154693019361138,0.245349277435601,-6.44859226578007
"277","DGKELBDO_00497",0.2156,14.5490333333333,1.52774474945638,0.155270657686373,0.246146120130724,-6.45181569383777
"2476","DGKELBDO_04141",-0.201500000000001,14.9824166666667,-1.52168144460517,0.156767188331615,0.248287863572844,-6.46010402526037
"2456","DGKELBDO_04119",0.587746666666664,11.1451466666667,1.52165618332509,0.156773449309748,0.248287863572844,-6.46013851205011
"658","DGKELBDO_01154",-0.137533333333334,15.0499,-1.52024333415618,0.157123967215707,0.248722603159068,-6.46206674942639
"1305","DGKELBDO_02313",0.619090000000002,10.7379533333333,1.51881847932465,0.157478150654622,0.249035102926292,-6.46401019824265
"1216","DGKELBDO_02110",0.219899999999999,14.6444416666667,1.51846324695187,0.157566560130305,0.249035102926292,-6.46449453821927
"2901","DGKELBDO_04986",0.236033333333335,17.1875583333333,1.51841991066895,0.157577348511463,0.249035102926292,-6.46455361985787
"200","DGKELBDO_00305",-0.144033333333335,14.2515833333333,-1.51768404890269,0.157760635745129,0.249035102926292,-6.46555667528099
"303","DGKELBDO_00594",-0.245333333333333,13.3680416666667,-1.51761017635627,0.157779045983082,0.249035102926292,-6.46565735377723
"74","DGKELBDO_00093",-0.131066666666673,16.7419833333333,-1.51749889254659,0.157806783225001,0.249035102926292,-6.46580901287574
"140","DGKELBDO_00214",-1.0017,11.6171916666667,-1.51730886252459,0.157854157539465,0.249035102926292,-6.46606797173047
"1082","DGKELBDO_01904",0.345500000000001,15.6806083333333,1.51624960905542,0.158118454011034,0.249260770441492,-6.46751105882994
"1120","DGKELBDO_01957",-0.273333333333335,11.5516916666667,-1.516125043608,0.158149559729993,0.249260770441492,-6.46768071917545
"3126","DGKELBDO_05377",0.3489,14.0766333333333,1.51476375513871,0.158489837475381,0.249676816668005,-6.4695342288301
"1343","DGKELBDO_02370",0.299533333333329,18.4010416666667,1.51277002664098,0.158989347246428,0.250259954733614,-6.47224690836035
"2755","DGKELBDO_04726",0.234533333333331,15.1771166666667,1.5125255794588,0.159050684734968,0.250259954733614,-6.47257934501048
"412","DGKELBDO_00763",0.186399999999997,13.0718916666667,1.51237109998911,0.15908945777687,0.250259954733614,-6.47278941180799
"1471","DGKELBDO_02594",-0.124799999999999,15.7955166666667,-1.51112719220312,0.159401965970987,0.25063105846087,-6.47448041445226
"2036","DGKELBDO_03452",0.133633333333336,15.3611833333333,1.50921267392543,0.159883988777013,0.251268209067429,-6.47708129469654
"639","DGKELBDO_01121",0.0953333333333326,14.7549666666667,1.50808718363,0.160167943383097,0.251593620138978,-6.47860927543565
"1392","DGKELBDO_02448",-0.2224,12.9818166666667,-1.50395877367604,0.161213248078591,0.253043657314248,-6.48420769548335
"789","DGKELBDO_01393",-0.12156666666667,16.1078666666667,-1.50383086116151,0.161245729064855,0.253043657314248,-6.48438099403618
"904","DGKELBDO_01611",-0.172200000000002,13.2087666666667,-1.50307795908309,0.161437028881151,0.253222415387884,-6.48540084638656
"1344","DGKELBDO_02371",-0.289300000000004,13.78255,-1.50127190747333,0.161896714564903,0.25370451464189,-6.48784589381542
"1368","DGKELBDO_02413",-0.323700000000001,13.28135,-1.50101641152111,0.161961835776648,0.25370451464189,-6.48819163109563
"3046","DGKELBDO_05205",-0.428933333333335,11.6701416666667,-1.50090334562421,0.161990661399176,0.25370451464189,-6.48834461964883
"2174","DGKELBDO_03663",-0.125733333333329,17.4804166666667,-1.50065287249327,0.162054534108053,0.25370451464189,-6.48868350596667
"3049","DGKELBDO_05208",0.354099999999999,21.481575,1.49802325471595,0.162726419760439,0.254550202282207,-6.49223910313833
